"id","treated","score","nationality","age","gender","birth_urbanrural","educ","ud_freedom_movement"
105,0,1,"Indonesia",41,"Female","Rural","Secondary (usually until 18 years old)","Never"
106,1,1,"Indonesia",38,"Female","Rural","Secondary (usually until 18 years old)","Never"
107,1,0.75,"Indonesia",37,"Female","Rural","Secondary (usually until 18 years old)","Never"
108,0,1,"Indonesia",35,"Female","Rural","Secondary (usually until 18 years old)","Often"
109,1,1,"The Philippines",37,"Female","Rural","College/University","Never"
110,1,1,"The Philippines",44,"Female","Rural","Secondary (usually until 18 years old)","Sometimes"
111,0,1,"The Philippines",32,"Female","Rural","Secondary (usually until 18 years old)","Never"
112,1,0.75,"The Philippines",48,"Female","Urban","Secondary (usually until 18 years old)","Sometimes"
113,0,0.75,"The Philippines",36,"Female","Urban","College/University","Never"
114,0,0.6,"Indonesia",30,"Female","Rural","Secondary (usually until 18 years old)","Sometimes"
115,1,1,"Indonesia",49,"Female","Urban","Secondary (usually until 18 years old)","Sometimes"
116,1,0.5,"Indonesia",48,"Female","Rural","Secondary (usually until 18 years old)","Never"
117,1,1,"Indonesia",38,"Female","Rural","Elementary (usually until 12 years old)","Never"
118,1,0.5,"Indonesia",30,"Female","Rural","Secondary (usually until 18 years old)","Rarely"
119,0,0.666666666666667,"Indonesia",35,"Female","Urban","Secondary (usually until 18 years old)","Rarely"
120,0,0.75,"Indonesia",26,"Female","Urban","College/University","Never"
121,0,0.6,"Indonesia",36,"Female","Rural","Elementary (usually until 12 years old)","Never"
122,1,0.8,"Indonesia",37,"Female","Rural","Secondary (usually until 18 years old)","Yes, all of the time"
123,0,1,"Indonesia",38,"Female","Urban","Secondary (usually until 18 years old)","Never"
124,0,0.8,"The Philippines",34,"Female","Urban","Secondary (usually until 18 years old)","Never"
125,1,0,"Indonesia",36,"Female","Urban","Secondary (usually until 18 years old)","Yes, all of the time"
126,1,1,"Indonesia",34,"Female","Rural","Secondary (usually until 18 years old)","Sometimes"
127,1,0.666666666666667,"Indonesia",35,"Female","Urban","Secondary (usually until 18 years old)","Never"
128,1,1,"Indonesia",39,"Female","Urban","No completed formal education","Never"
129,1,0.75,"Nepal",27,"Female","Urban","Elementary (usually until 12 years old)","Sometimes"
130,0,1,"Nepal",35,"Female","Urban","No completed formal education","Sometimes"
131,1,1,"Nepal",41,"Female","Urban","No completed formal education","Never"
132,0,0.8,"The Philippines",34,"Female","Rural","Secondary (usually until 18 years old)","Never"
133,1,1,"The Philippines",32,"Female","Rural","College/University","Never"
134,1,0.8,"Indonesia",34,"Female","Rural","Secondary (usually until 18 years old)","Never"
135,0,1,"Indonesia",35,"Female","Urban","Secondary (usually until 18 years old)","Never"
136,1,0.8,"Indonesia",30,"Female","Rural","Secondary (usually until 18 years old)","Never"
137,0,1,"The Philippines",40,"Female","Rural","College/University","Sometimes"
138,1,1,"The Philippines",38,"Female","Urban","Secondary (usually until 18 years old)","Never"
139,1,1,"The Philippines",29,"Female","Rural","College/University","Never"
140,0,0.8,"The Philippines",32,"Female","Rural","Secondary (usually until 18 years old)","Never"
141,1,1,"The Philippines",30,"Female","Rural","Secondary (usually until 18 years old)","Never"
142,1,0.75,"The Philippines",30,"Female","Rural","College/University","Refused to answer"
143,0,0.4,"The Philippines",35,"Female","Rural","Secondary (usually until 18 years old)","Rarely"
144,1,0.8,"The Philippines",37,"Female","Rural","Secondary (usually until 18 years old)","Never"
145,1,0.75,"The Philippines",30,"Female","Urban","College/University","Yes, all of the time"
146,1,1,"The Philippines",34,"Female","Rural","College/University","Yes, all of the time"
147,1,1,"The Philippines",43,"Female","Rural","Secondary (usually until 18 years old)","Rarely"
148,0,1,"The Philippines",41,"Female","Urban","Secondary (usually until 18 years old)","Sometimes"
149,1,1,"The Philippines",46,"Female","Urban","College/University","Never"
150,0,1,"The Philippines",34,"Female","Rural","College/University","Often"
151,0,0.25,"The Philippines",46,"Female","Rural","Postgraduate studies (Masters or Phd)","Yes, all of the time"
152,0,1,"The Philippines",48,"Female","Rural","College/University","Never"
153,1,1,"The Philippines",30,"Female","Rural","College/University","Sometimes"
154,1,1,"The Philippines",55,"Female","Rural","Secondary (usually until 18 years old)","Never"
155,0,1,"The Philippines",36,"Female","Urban","College/University","Never"
156,0,1,"The Philippines",48,"Female","Urban","Secondary (usually until 18 years old)","Never"
157,0,1,"The Philippines",47,"Female","Rural","College/University","Yes, all of the time"
158,0,1,"The Philippines",53,"Female","Rural","Secondary (usually until 18 years old)","Never"
159,0,1,"The Philippines",50,"Female","Rural","Secondary (usually until 18 years old)","Never"
160,1,1,"The Philippines",28,"Female","Rural","College/University","Yes, all of the time"
161,1,0.6,"The Philippines",58,"Female","Rural","Secondary (usually until 18 years old)","Never"
162,0,0.8,"The Philippines",28,"Female","Urban","College/University","Sometimes"
163,1,1,"The Philippines",33,"Female","Rural","Secondary (usually until 18 years old)","Never"
164,1,0.8,"The Philippines",34,"Female","Urban","Secondary (usually until 18 years old)","Never"
165,0,1,"The Philippines",33,"Female","Rural","College/University","Never"
166,1,1,"The Philippines",39,"Female","Rural","Secondary (usually until 18 years old)","Never"
167,0,0.8,"The Philippines",50,"Female","Rural","College/University","Sometimes"
168,1,0.75,"The Philippines",26,"Female","Urban","Secondary (usually until 18 years old)","Never"
169,0,0.75,"The Philippines",33,"Female","Urban","Secondary (usually until 18 years old)","Never"
170,0,0.6,"The Philippines",30,"Female","Urban","Secondary (usually until 18 years old)","Never"
171,1,0.8,"The Philippines",32,"Female","Rural","College/University","Yes, all of the time"
172,1,0.8,"The Philippines",41,"Female","Urban","Secondary (usually until 18 years old)","Never"
173,1,0.75,"The Philippines",28,"Female","Rural","Refused to answer","Yes, all of the time"
174,0,0.6,"The Philippines",38,"Female","Urban","College/University","Rarely"
175,0,0.8,"The Philippines",47,"Female","Rural","Secondary (usually until 18 years old)","Sometimes"
176,0,1,"The Philippines",38,"Female","Rural","College/University","Never"
177,1,1,"The Philippines",38,"Female","Rural","Refused to answer","Never"
178,1,1,"The Philippines",39,"Female","Urban","Secondary (usually until 18 years old)","Never"
179,1,1,"The Philippines",42,"Female","Urban","College/University","Never"
180,1,1,"The Philippines",36,"Female","Urban","College/University","Never"
181,1,0.8,"The Philippines",33,"Female","Rural","Secondary (usually until 18 years old)","Never"
182,0,1,"The Philippines",35,"Female","Rural","Secondary (usually until 18 years old)","Never"
183,0,0.8,"The Philippines",42,"Female","Rural","College/University","Never"
184,1,0.8,"The Philippines",26,"Female","Rural","Secondary (usually until 18 years old)","Never"
185,1,0.8,"The Philippines",40,"Female","Rural","College/University","Never"
186,0,0.75,"The Philippines",24,"Female","Rural","College/University","Never"
187,1,1,"The Philippines",27,"Female","Rural","Secondary (usually until 18 years old)","Yes, all of the time"
188,1,0.6,"The Philippines",35,"Female","Rural","Secondary (usually until 18 years old)","Never"
189,0,0.75,"The Philippines",28,"Female","Rural","Secondary (usually until 18 years old)","Sometimes"
190,0,0.8,"The Philippines",48,"Female","Rural","Secondary (usually until 18 years old)","Never"
191,1,1,"The Philippines",29,"Female","Rural","College/University","Never"
192,0,1,"The Philippines",33,"Female","Rural","College/University","Never"
193,1,0.8,"The Philippines",45,"Female","Urban","College/University","Never"
194,0,1,"The Philippines",30,"Female","Urban","College/University","Never"
195,1,0.8,"The Philippines",29,"Female","Urban","College/University","Yes, all of the time"
196,0,1,"The Philippines",37,"Female","Urban","College/University","Yes, all of the time"
197,0,1,"The Philippines",51,"Female","Urban","College/University","Yes, all of the time"
198,1,1,"The Philippines",52,"Female","Urban","College/University","Yes, all of the time"
199,1,0.75,"The Philippines",47,"Female","Urban","College/University","Yes, all of the time"
200,1,1,"The Philippines",36,"Female","Rural","Elementary (usually until 12 years old)","Never"
201,0,1,"Indonesia",42,"Female","Rural","Secondary (usually until 18 years old)","Never"
202,0,1,"Indonesia",48,"Female","Rural","Elementary (usually until 12 years old)","Never"
203,1,1,"Indonesia",44,"Female","Rural","Secondary (usually until 18 years old)","Never"
204,1,0.8,"Indonesia",37,"Female","Rural","College/University","Sometimes"
205,0,1,"Indonesia",25,"Female","Urban","Secondary (usually until 18 years old)","Never"
206,1,1,"Indonesia",34,"Female","Rural","Secondary (usually until 18 years old)","Never"
207,1,1,"Indonesia",32,"Female","Rural","Elementary (usually until 12 years old)","Never"
208,1,1,"Indonesia",22,"Female","Rural","Secondary (usually until 18 years old)","Never"
209,0,0.8,"Indonesia",42,"Female","Rural","Secondary (usually until 18 years old)","Never"
210,0,0,"Indonesia",59,"Female","Rural","Elementary (usually until 12 years old)","Never"
211,0,0.8,"Indonesia",37,"Female","Urban","Secondary (usually until 18 years old)","Sometimes"
212,1,1,"Indonesia",28,"Female","Rural","Secondary (usually until 18 years old)","Never"
213,0,1,"Indonesia",30,"Female","Rural","Secondary (usually until 18 years old)","Never"
214,1,0.8,"Indonesia",35,"Female","Rural","Secondary (usually until 18 years old)","Never"
215,0,0.75,"Indonesia",36,"Female","Rural","Secondary (usually until 18 years old)","Often"
216,1,0.8,"Indonesia",37,"Female","Urban","Secondary (usually until 18 years old)","Yes, all of the time"
217,1,1,"Indonesia",42,"Female","Rural","Elementary (usually until 12 years old)","Never"
218,1,0.8,"Indonesia",41,"Female","Rural","Elementary (usually until 12 years old)","Never"
219,0,0.6,"Indonesia",47,"Female","Rural","Secondary (usually until 18 years old)","Never"
220,0,1,"Indonesia",32,"Female","Rural","Elementary (usually until 12 years old)","Never"
221,1,1,"Indonesia",41,"Female","Rural","Elementary (usually until 12 years old)","Never"
222,1,1,"Indonesia",36,"Female","Urban","Secondary (usually until 18 years old)","Never"
223,1,1,"Indonesia",40,"Female","Rural","Secondary (usually until 18 years old)","Never"
224,0,0,"Indonesia",36,"Female","Rural","Secondary (usually until 18 years old)","Never"
225,0,0.6,"Indonesia",35,"Female","Rural","Elementary (usually until 12 years old)","Sometimes"
226,0,0.75,"The Philippines",29,"Female","Urban","College/University","Yes, all of the time"
227,1,1,"The Philippines",42,"Female","Rural","Secondary (usually until 18 years old)","Never"
228,0,1,"The Philippines",27,"Female","Rural","College/University","Never"
229,0,0.8,"The Philippines",44,"Female","Refused to answer","Secondary (usually until 18 years old)","Never"
230,0,0.8,"The Philippines",43,"Female","Rural","College/University","Never"
231,0,0.6,"The Philippines",45,"Female","Urban","Secondary (usually until 18 years old)","Yes, all of the time"
232,1,0.5,"The Philippines",54,"Female","Urban","Secondary (usually until 18 years old)","Yes, all of the time"
233,0,0.8,"Indonesia",30,"Female","Rural","Secondary (usually until 18 years old)","Never"
234,1,0.8,"Indonesia",35,"Female","Rural","No completed formal education","Rarely"
235,0,0.8,"Indonesia",40,"Female","Rural","Secondary (usually until 18 years old)","Rarely"
236,1,1,"Indonesia",42,"Female","Rural","Secondary (usually until 18 years old)","Rarely"
237,1,1,"Nepal",43,"Female","Rural","Elementary (usually until 12 years old)","Never"
238,0,1,"Nepal",40,"Female","Rural","Elementary (usually until 12 years old)","Never"
239,0,1,"Nepal",37,"Female","Urban","Elementary (usually until 12 years old)","Never"
240,1,1,"Nepal",NA,"Female","Rural","No completed formal education","Never"
241,1,0.2,"The Philippines",45,"Female","Rural","Secondary (usually until 18 years old)","Refused to answer"
242,0,1,"The Philippines",49,"Female","Rural","College/University","Refused to answer"
243,0,1,"The Philippines",41,"Female","Urban","Secondary (usually until 18 years old)","Never"
244,1,0.5,"The Philippines",42,"Female","Rural","Secondary (usually until 18 years old)","Never"
245,1,1,"The Philippines",42,"Female","Rural","College/University","Never"
246,1,1,"Nepal",32,"Female","Urban","Elementary (usually until 12 years old)","Never"
247,0,0.6,"The Philippines",34,"Female","Urban","Secondary (usually until 18 years old)","Never"
248,1,0.8,"The Philippines",39,"Female","Urban","College/University","Never"
249,1,1,"The Philippines",38,"Female","Urban","Secondary (usually until 18 years old)","Sometimes"
250,1,1,"The Philippines",61,"Female","Rural","College/University","Sometimes"
251,0,1,"The Philippines",50,"Female","Urban","Postgraduate studies (Masters or Phd)","Never"
252,0,1,"The Philippines",41,"Female","Urban","College/University","Refused to answer"
253,1,0.2,"The Philippines",40,"Female","Rural","College/University","Never"
254,0,0.6,"The Philippines",51,"Female","Rural","Secondary (usually until 18 years old)","Never"
255,1,0,"The Philippines",47,"Female","Rural","Secondary (usually until 18 years old)","Never"
256,1,0.4,"The Philippines",37,"Female","Rural","College/University","Never"
257,0,0.75,"The Philippines",38,"Female","Rural","College/University","Never"
258,0,0.4,"The Philippines",42,"Female","Rural","College/University","Never"
259,0,0.8,"The Philippines",34,"Female","Rural","College/University","Never"
260,1,0.5,"Indonesia",34,"Female","Urban","Secondary (usually until 18 years old)","Never"
261,1,0.8,"Indonesia",27,"Female","Rural","Elementary (usually until 12 years old)","Never"
262,1,1,"Indonesia",49,"Female","Urban","Secondary (usually until 18 years old)","Yes, all of the time"
263,1,0.8,"Indonesia",33,"Female","Rural","Secondary (usually until 18 years old)","Never"
264,1,1,"Indonesia",30,"Female","Rural","Secondary (usually until 18 years old)","Never"
265,1,0.25,"The Philippines",32,"Female","Rural","College/University","Never"
266,0,1,"The Philippines",35,"Female","Rural","College/University","Yes, all of the time"
267,1,0.25,"The Philippines",44,"Female","Rural","Secondary (usually until 18 years old)","Yes, all of the time"
268,1,1,"The Philippines",27,"Female","Rural","College/University","Yes, all of the time"
269,1,1,"The Philippines",43,"Female","Rural","College/University","Yes, all of the time"
270,0,0.6,"The Philippines",48,"Female","Rural","College/University","Never"
271,1,1,"The Philippines",39,"Female","Urban","Secondary (usually until 18 years old)","Never"
272,0,0.5,"The Philippines",44,"Female","Urban","College/University","Sometimes"
273,1,0.4,"The Philippines",25,"Female","Rural","Secondary (usually until 18 years old)","Yes, all of the time"
274,1,1,"The Philippines",32,"Female","Refused to answer","Secondary (usually until 18 years old)","Never"
275,0,0.75,"The Philippines",34,"Female","Urban","College/University","Never"
276,1,1,"The Philippines",29,"Female","Urban","Secondary (usually until 18 years old)","Never"
277,0,1,"The Philippines",50,"Female","Rural","College/University","Refused to answer"
278,1,1,"The Philippines",40,"Female","Rural","Secondary (usually until 18 years old)","Never"
279,1,1,"The Philippines",34,"Female","Urban","College/University","Never"
280,1,1,"The Philippines",36,"Female","Urban","Secondary (usually until 18 years old)","Never"
281,0,1,"The Philippines",29,"Female","Rural","Secondary (usually until 18 years old)","Never"
282,0,0.333333333333333,"The Philippines",42,"Female","Urban","College/University","Often"
283,1,1,"The Philippines",28,"Female","Urban","Secondary (usually until 18 years old)","Yes, all of the time"
284,0,0.8,"The Philippines",29,"Female","Urban","College/University","Never"
285,0,1,"The Philippines",36,"Female","Rural","Secondary (usually until 18 years old)","Never"
286,1,1,"The Philippines",43,"Female","Rural","College/University","Yes, all of the time"
287,0,0.6,"The Philippines",27,"Female","Rural","College/University","Never"
288,0,1,"The Philippines",33,"Female","Urban","Secondary (usually until 18 years old)","Never"
289,1,0.8,"The Philippines",32,"Female","Rural","College/University","Never"
290,0,0,"The Philippines",31,"Female","Rural","Secondary (usually until 18 years old)","Refused to answer"
291,1,0.25,"The Philippines",41,"Female","Rural","College/University","Sometimes"
292,0,0.8,"The Philippines",48,"Female","Refused to answer","College/University","Never"
293,0,0.5,"The Philippines",31,"Female","Rural","College/University","Refused to answer"
294,1,1,"The Philippines",39,"Female","Rural","College/University","Never"
295,0,0.8,"The Philippines",52,"Female","Urban","Secondary (usually until 18 years old)","Never"
296,0,0.4,"The Philippines",31,"Female","Rural","College/University","Never"
297,1,0.25,"The Philippines",32,"Female","Rural","College/University","Sometimes"
298,1,0.6,"The Philippines",40,"Female","Urban","Secondary (usually until 18 years old)","Refused to answer"
299,0,1,"The Philippines",38,"Female","Rural","Secondary (usually until 18 years old)","Never"
300,0,0.8,"The Philippines",28,"Female","Urban","Secondary (usually until 18 years old)","Never"
301,1,1,"The Philippines",42,"Female","Refused to answer","Secondary (usually until 18 years old)","Refused to answer"
302,0,1,"The Philippines",42,"Female","Rural","College/University","Never"
303,1,1,"The Philippines",41,"Female","Urban","College/University","Never"
304,1,0.333333333333333,"The Philippines",26,"Female","Rural","Secondary (usually until 18 years old)","Never"
305,0,1,"The Philippines",26,"Female","Urban","Secondary (usually until 18 years old)","Rarely"
306,1,1,"The Philippines",29,"Female","Urban","College/University","Rarely"
307,1,1,"The Philippines",35,"Female","Urban","Secondary (usually until 18 years old)","Never"
308,1,0.8,"The Philippines",32,"Female","Urban","Secondary (usually until 18 years old)","Never"
309,1,1,"The Philippines",38,"Female","Rural","Secondary (usually until 18 years old)","Never"
310,0,1,"Indonesia",30,"Female","Rural","Secondary (usually until 18 years old)","Sometimes"
311,1,0,"Indonesia",22,"Female","Rural","Secondary (usually until 18 years old)","Never"
312,0,0,"Indonesia",43,"Female","Rural","Elementary (usually until 12 years old)","Never"
313,1,0,"Indonesia",41,"Female","Rural","Elementary (usually until 12 years old)","Never"
314,1,NA,"Indonesia",24,"Female","Rural","Elementary (usually until 12 years old)","Never"
315,0,0,"Indonesia",25,"Female","Rural","No completed formal education","Never"
316,1,0.75,"Indonesia",29,"Female","Rural","Elementary (usually until 12 years old)","Never"
317,1,1,"Indonesia",38,"Female","Rural","Secondary (usually until 18 years old)","Never"
318,1,1,"Indonesia",32,"Female","Rural","Secondary (usually until 18 years old)","Never"
319,1,NA,"Indonesia",37,"Female","Rural","Secondary (usually until 18 years old)","Refused to answer"
320,0,1,"Indonesia",36,"Female","Rural","No completed formal education","Never"
321,0,1,"Indonesia",44,"Female","Rural","Secondary (usually until 18 years old)","Never"
322,0,0.8,"Indonesia",27,"Female","Urban","Secondary (usually until 18 years old)","Never"
323,1,1,"Indonesia",40,"Female","Rural","Secondary (usually until 18 years old)","Never"
324,1,0.8,"The Philippines",33,"Female","Rural","College/University","Never"
325,1,0.6,"The Philippines",36,"Female","Urban","College/University","Rarely"
326,0,0.8,"The Philippines",28,"Female","Urban","College/University","Never"
327,0,0.6,"The Philippines",27,"Female","Urban","College/University","Rarely"
328,1,0.8,"Indonesia",32,"Female","Rural","Secondary (usually until 18 years old)","Never"
329,1,1,"Indonesia",32,"Female","Rural","Secondary (usually until 18 years old)","Never"
330,0,0.8,"Indonesia",45,"Female","Rural","Elementary (usually until 12 years old)","Never"
331,0,0.8,"Indonesia",37,"Female","Rural","Elementary (usually until 12 years old)","Sometimes"
332,0,0.75,"Indonesia",23,"Female","Rural","Elementary (usually until 12 years old)","Never"
333,1,0.8,"Indonesia",35,"Female","Rural","Secondary (usually until 18 years old)","Rarely"
334,0,1,"Indonesia",27,"Female","Rural","Secondary (usually until 18 years old)","Never"
335,1,0,"Indonesia",29,"Female","Rural","Secondary (usually until 18 years old)","Yes, all of the time"
336,0,1,"Indonesia",27,"Female","Rural","Secondary (usually until 18 years old)","Sometimes"
337,1,0,"Indonesia",30,"Female","Rural","Secondary (usually until 18 years old)","Never"
338,1,0.6,"The Philippines",32,"Female","Urban","Secondary (usually until 18 years old)","Never"
339,1,1,"The Philippines",32,"Female","Urban","Secondary (usually until 18 years old)","Refused to answer"
340,1,0.5,"The Philippines",38,"Female","Rural","College/University","Refused to answer"
341,1,0.8,"The Philippines",35,"Female","Rural","Secondary (usually until 18 years old)","Never"
342,0,1,"Nepal",38,"Female","Rural","No completed formal education","Never"
343,1,1,"Nepal",47,"Female","Urban","No completed formal education","Never"
